"Site","Solute","TN_Cor","Ratio_Cor","Value","Var","SD"
"MONO-BRAD","NO23_TN",1,1,0.643818981739081,0.00301789882768262,0.0549354059572023
"MONO-BRAD","OrthoP_P",NA,NA,122.806666666667,3130.30614877029,55.9491389457451
"MONO-BRAD","OrthoP_TP",NA,0,0.199346178545144,0.0440423707975265,0.209862742757085
"MONO-BRAD","OrthoP_TP",NA,1,0.199346178545144,0.0130123301595819,0.114071601021384
"MONO-BRAD","Si_TN",0,0,3.58569536133179,0.0419699587669522,0.204865709104653
"MONO-BRAD","Si_TN",0,1,3.58569536133179,0.0143668258218827,0.119861694556196
"MONO-BRAD","Si_TN",1,0,3.58569536133179,0.0662114218450007,0.257315801778672
"MONO-BRAD","Si_TN",1,1,3.58569536133179,0.029294791635436,0.17115721321474
"MONO-BRAD","SiO2",NA,NA,59656.6666666667,8589792.28296685,2930.83474166778
"MONO-BRAD","TKN_N",NA,NA,6217.40740740741,6365196.93154746,2522.93419088716
"MONO-BRAD","TN_N",0,NA,16901.1111111111,8257147.68910177,2873.52530684902
"MONO-BRAD","TN_N",1,NA,16901.1111111111,13108259.0283812,3620.53297573455
"MONO-BRAD","TN_TP",0,0,24.2427736642525,2.27771097036364,1.50920872325986
"MONO-BRAD","TN_TP",0,1,24.2427736642525,0.880260281761417,0.938221872352919
"MONO-BRAD","TN_TP",1,0,24.2427736642525,2.59163421384293,1.60985533941498
"MONO-BRAD","TN_TP",1,1,24.2427736642525,0.752978517010911,0.867743347431089
"MONO-BRAD","TP_P",NA,NA,913.888888888889,95673.5835860567,309.311466948862
"MONO-BRAD","TP_Si",NA,0,0.0152055151384069,0.00101394043478327,0.0318424313579109
"MONO-BRAD","TP_Si",NA,1,0.0152055151384069,0.000696427160372759,0.0263899064108374
"OH-SEWI","NH3_N",NA,NA,2307.33333333333,151370.879434529,389.064107101297
"OH-SEWI","NO23_N",NA,NA,23546.1538461538,603186.313525729,776.650702391834
"OH-SEWI","NO23_TN",0,0,0.643566669620162,0.000856085206995441,0.0292589337979948
"OH-SEWI","NO23_TN",0,1,0.643566669620162,1.67920985703496e-05,0.00409781631730238
"OH-SEWI","NO23_TN",1,0,0.643566669620162,0.00129623257396784,0.0360032300490919
"OH-SEWI","NO23_TN",1,1,0.643566669620162,0.000136949235142413,0.0117025311425526
"OH-SEWI","OrthoP_P",NA,NA,402.101403304214,12121.3123160821,110.096831544246
"OH-SEWI","OrthoP_TP",NA,0,0.260844513553783,0.0190758655293927,0.138115406560574
"OH-SEWI","OrthoP_TP",NA,1,0.260844513553783,0.00546942475385852,0.0739555593167851
"OH-SEWI","Si_TN",0,0,3.86580515058359,0.00598634745187168,0.077371489916323
"OH-SEWI","Si_TN",0,1,3.86580515058359,6.60211690630092e-05,0.00812534116594554
"OH-SEWI","Si_TN",1,0,3.86580515058359,0.00862640339238353,0.0928784334083189
"OH-SEWI","Si_TN",1,1,3.86580515058359,0.000450692344993214,0.0212295158916357
"OH-SEWI","SiO2",NA,NA,151285.714285714,19905849.2018881,4461.59715818092
"OH-SEWI","TKN_N",NA,NA,14278.5714285714,976841.508324012,988.352927007358
"OH-SEWI","TN_N",0,NA,39207.1428571429,1350490.48124149,1162.10605421428
"OH-SEWI","TN_N",1,NA,39207.1428571429,2524114.5604953,1588.74622281071
"OH-SEWI","TN_TP",0,0,18.029719093905,0.177635388997033,0.421468135209571
"OH-SEWI","TN_TP",0,1,18.029719093905,0.084416190772297,0.290544645058719
"OH-SEWI","TN_TP",1,0,18.029719093905,0.189836588792578,0.435702408522811
"OH-SEWI","TN_TP",1,1,18.029719093905,0.0611157493933367,0.247215997446235
